"Plot Title: Logger 5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20102230, SEN S/N: 20102230, LBL: Temperature)","Coupler Attached (LGR S/N: 20102230)","Host Connected (LGR S/N: 20102230)","Stopped (LGR S/N: 20102230)","End Of File (LGR S/N: 20102230)"
1,03/31/20 10:30:00 AM,22.621,,,,
2,03/31/20 10:35:00 AM,22.238,,,,
3,03/31/20 10:40:00 AM,21.951,,,,
4,03/31/20 10:45:00 AM,21.760,,,,
5,03/31/20 10:50:00 AM,21.569,,,,
6,03/31/20 10:55:00 AM,21.378,,,,
7,03/31/20 11:00:00 AM,21.187,,,,
8,03/31/20 11:05:00 AM,21.091,,,,
9,03/31/20 11:10:00 AM,20.996,,,,
10,03/31/20 11:15:00 AM,20.901,,,,
11,03/31/20 11:20:00 AM,20.805,,,,
12,03/31/20 11:25:00 AM,20.710,,,,
13,03/31/20 11:30:00 AM,20.710,,,,
14,03/31/20 11:35:00 AM,20.615,,,,
15,03/31/20 11:40:00 AM,20.615,,,,
16,03/31/20 11:45:00 AM,20.615,,,,
17,03/31/20 11:50:00 AM,20.519,,,,
18,03/31/20 11:55:00 AM,20.519,,,,
19,03/31/20 12:00:00 PM,20.519,,,,
20,03/31/20 12:05:00 PM,20.519,,,,
21,03/31/20 12:10:00 PM,20.424,,,,
22,03/31/20 12:15:00 PM,20.424,,,,
23,03/31/20 12:20:00 PM,20.424,,,,
24,03/31/20 12:25:00 PM,20.424,,,,
25,03/31/20 12:30:00 PM,20.424,,,,
26,03/31/20 12:35:00 PM,20.424,,,,
27,03/31/20 12:40:00 PM,20.424,,,,
28,03/31/20 12:45:00 PM,20.424,,,,
29,03/31/20 12:50:00 PM,20.424,,,,
30,03/31/20 12:55:00 PM,20.424,,,,
31,03/31/20 01:00:00 PM,20.424,,,,
32,03/31/20 01:05:00 PM,20.424,,,,
33,03/31/20 01:10:00 PM,20.424,,,,
34,03/31/20 01:15:00 PM,20.424,,,,
35,03/31/20 01:20:00 PM,20.424,,,,
36,03/31/20 01:25:00 PM,20.424,,,,
37,03/31/20 01:30:00 PM,20.424,,,,
38,03/31/20 01:35:00 PM,20.424,,,,
39,03/31/20 01:40:00 PM,20.424,,,,
40,03/31/20 01:45:00 PM,20.424,,,,
41,03/31/20 01:50:00 PM,20.424,,,,
42,03/31/20 01:55:00 PM,20.424,,,,
43,03/31/20 02:00:00 PM,20.424,,,,
44,03/31/20 02:05:00 PM,20.424,,,,
45,03/31/20 02:10:00 PM,20.424,,,,
46,03/31/20 02:15:00 PM,20.424,,,,
47,03/31/20 02:20:00 PM,20.424,,,,
48,03/31/20 02:25:00 PM,20.424,,,,
49,03/31/20 02:30:00 PM,20.424,,,,
50,03/31/20 02:35:00 PM,20.424,,,,
51,03/31/20 02:40:00 PM,20.424,,,,
52,03/31/20 02:45:00 PM,20.424,,,,
53,03/31/20 02:50:00 PM,20.424,,,,
54,03/31/20 02:55:00 PM,20.424,,,,
55,03/31/20 03:00:00 PM,20.424,,,,
56,03/31/20 03:05:00 PM,20.424,,,,
57,03/31/20 03:10:00 PM,20.424,,,,
58,03/31/20 03:15:00 PM,20.424,,,,
59,03/31/20 03:20:00 PM,20.424,,,,
60,03/31/20 03:25:00 PM,20.424,,,,
61,03/31/20 03:30:00 PM,20.424,,,,
62,03/31/20 03:35:00 PM,20.424,,,,
63,03/31/20 03:40:00 PM,20.424,,,,
64,03/31/20 03:45:00 PM,20.424,,,,
65,03/31/20 03:50:00 PM,20.424,,,,
66,03/31/20 03:55:00 PM,20.424,,,,
67,03/31/20 04:00:00 PM,20.424,,,,
68,03/31/20 04:05:00 PM,20.424,,,,
69,03/31/20 04:10:00 PM,20.424,,,,
70,03/31/20 04:15:00 PM,20.424,,,,
71,03/31/20 04:20:00 PM,20.424,,,,
72,03/31/20 04:25:00 PM,20.424,,,,
73,03/31/20 04:30:00 PM,20.424,,,,
74,03/31/20 04:35:00 PM,20.424,,,,
75,03/31/20 04:40:00 PM,20.424,,,,
76,03/31/20 04:45:00 PM,20.424,,,,
77,03/31/20 04:50:00 PM,20.424,,,,
78,03/31/20 04:55:00 PM,20.424,,,,
79,03/31/20 05:00:00 PM,20.424,,,,
80,03/31/20 05:05:00 PM,20.424,,,,
81,03/31/20 05:10:00 PM,20.424,,,,
82,03/31/20 05:15:00 PM,20.424,,,,
83,03/31/20 05:20:00 PM,20.424,,,,
84,03/31/20 05:25:00 PM,20.424,,,,
85,03/31/20 05:30:00 PM,20.424,,,,
86,03/31/20 05:35:00 PM,20.424,,,,
87,03/31/20 05:40:00 PM,20.424,,,,
88,03/31/20 05:45:00 PM,20.424,,,,
89,03/31/20 05:50:00 PM,20.424,,,,
90,03/31/20 05:55:00 PM,20.424,,,,
91,03/31/20 06:00:00 PM,20.424,,,,
92,03/31/20 06:05:00 PM,20.424,,,,
93,03/31/20 06:10:00 PM,20.424,,,,
94,03/31/20 06:15:00 PM,20.424,,,,
95,03/31/20 06:20:00 PM,20.424,,,,
96,03/31/20 06:25:00 PM,20.424,,,,
97,03/31/20 06:30:00 PM,20.424,,,,
98,03/31/20 06:35:00 PM,20.424,,,,
99,03/31/20 06:40:00 PM,20.424,,,,
100,03/31/20 06:45:00 PM,20.424,,,,
101,03/31/20 06:50:00 PM,20.424,,,,
102,03/31/20 06:55:00 PM,20.424,,,,
103,03/31/20 07:00:00 PM,20.424,,,,
104,03/31/20 07:05:00 PM,20.329,,,,
105,03/31/20 07:10:00 PM,20.329,,,,
106,03/31/20 07:15:00 PM,20.329,,,,
107,03/31/20 07:20:00 PM,20.329,,,,
108,03/31/20 07:25:00 PM,20.329,,,,
109,03/31/20 07:30:00 PM,20.424,,,,
110,03/31/20 07:35:00 PM,20.329,,,,
